date,Tmean [C],precip [mm/day],Q(m3/s),Snowpack [m]
1920-01-01,-11.85333,1.414465,,
1920-01-02,-13.15333,0.2086413,,
1920-01-03,-20.38667,0.0,,
1920-01-04,-8.796666,0.0,,
1920-01-05,-12.69,0.0,,
1920-01-06,-5.343333,4.563474,,
1920-01-07,-2.286667,7.785188,,
1920-01-08,-5.406667,4.344927,,
1920-01-09,-11.66667,0.0,,
1920-01-10,-12.76333,0.0,,
1920-01-11,-15.99333,2.376113,,
1920-01-12,-22.49667,1.170411,,
1920-01-13,-19.68667,1.31432,,
1920-01-14,-14.89667,0.0,,
1920-01-15,-21.76,3.201559,,
1920-01-16,-14.08333,0.1871982,,
1920-01-17,-5.016666,0.8630034,,
1920-01-18,-2.85,0.0,,
1920-01-19,-12.63,0.0,,
1920-01-20,-14.32667,0.0,,
1920-01-21,-14.49333,0.0,,
1920-01-22,-17.25333,0.941868,,
1920-01-23,-14.37333,4.139441,,
1920-01-24,-7.893332,3.358361,,
1920-01-25,-2.459999,0.0,,
1920-01-26,-4.913333,4.728289,,
1920-01-27,-3.236665,5.911339,,
1920-01-28,-9.713332,4.60961,,
1920-01-29,-10.45333,3.736957,,
1920-01-30,-13.64,4.938877,,
1920-01-31,-8.773333,7.78534,,
1920-02-01,-9.98,7.612508,,
1920-02-02,-5.886667,11.68594,,
1920-02-03,3.019999,7.83732,,
1920-02-04,1.779999,0.0,,
1920-02-05,0.4933338,0.0,,
1920-02-06,-3.646666,0.0,,
1920-02-07,-12.64667,0.0,,
1920-02-08,-3.479999,1.200966,,
1920-02-09,-4.496666,2.999521,,
1920-02-10,-8.219999,2.290084,,
1920-02-11,-16.80333,0.0,,
1920-02-12,-16.9,0.0,,
1920-02-13,-14.24667,6.555974,,
1920-02-14,-1.396667,0.4041212,,
1920-02-15,-10.78,9.179082,,
1920-02-16,-6.79,0.7403249,,
1920-02-17,0.8866673,0.0,,
1920-02-18,3.823335,3.280153,,
1920-02-19,-10.25667,1.25887,,
1920-02-20,-12.1,1.919992,,
1920-02-21,-14.65,0.0,,
1920-02-22,-6.009999,0.471833,,
1920-02-23,-3.21,1.202242,,
1920-02-24,2.459999,4.476799,,
1920-02-25,1.706667,0.0,,
1920-02-26,-10.58333,0.0,,
1920-02-27,-11.85,0.0,,
1920-02-28,-14.49,8.278573,,
1920-02-29,0.6900001,1.676813,,
1920-03-01,7.113334,0.0,,
1920-03-02,-0.1466665,0.06276119,,
1920-03-03,-3.586666,4.902509,,
1920-03-04,1.533334,1.697128,,
1920-03-05,1.42,0.0,,
1920-03-06,1.003334,2.454697,,
1920-03-07,-0.2299995,0.0,,
1920-03-08,-8.936666,0.0,,
1920-03-09,-11.48667,0.0,,
1920-03-10,-3.74,0.0,,
1920-03-11,-6.823333,2.814427,,
1920-03-12,-6.85,1.131347,,
1920-03-13,-7.883333,1.518574,,
1920-03-14,-5.593333,1.698523,,
1920-03-15,-10.10667,7.190662,,
1920-03-16,-9.996667,4.491613,,
1920-03-17,-11.35,5.902108,,
1920-03-18,-9.26,3.763648,,
1920-03-19,-10.82333,3.030302,,
1920-03-20,-6.18,0.0,,
1920-03-21,-4.933333,0.0,,
1920-03-22,-5.496666,0.0,,
1920-03-23,-4.333333,0.0,,
1920-03-24,-1.71,6.343993,,
1920-03-25,-4.56,2.553076,,
1920-03-26,-5.633334,2.643708,,
1920-03-27,-4.690001,4.272331,,
1920-03-28,-4.093334,8.119634,,
1920-03-29,-2.833333,8.473028,,
1920-03-30,0.1100006,0.0,,
1920-03-31,-4.303333,0.0,,
1920-04-01,-1.086667,0.0,,
1920-04-02,-2.903333,0.0,,
1920-04-03,-3.683333,0.0,,
1920-04-04,-5.553333,0.0,,
1920-04-05,-6.776666,0.0,,
1920-04-06,-5.446666,0.0,,
1920-04-07,-1.31,0.5976887,,
1920-04-08,-5.323333,0.0,,
1920-04-09,-4.723333,0.0,,
1920-04-10,-2.253333,0.0,,
1920-04-11,-2.336667,0.0,,
1920-04-12,-2.84,4.403019,,
1920-04-13,-5.363333,0.0,,
1920-04-14,-3.373333,7.59069,,
1920-04-15,-1.47,8.130518,,
1920-04-16,3.736667,0.8940817,,
1920-04-17,1.02,0.0,,
1920-04-18,-4.38,0.0,,
1920-04-19,-2.73,0.0,,
1920-04-20,-7.28,0.0,,
1920-04-21,-10.74,6.540434,,
1920-04-22,-10.69,2.573486,,
1920-04-23,-7.776666,0.0,,
1920-04-24,-6.986667,1.781739,,
1920-04-25,3.716667,0.7630582,,
1920-04-26,-8.346666,0.0,,
1920-04-27,-8.156667,3.128825,,
1920-04-28,-6.253334,6.197559,,
1920-04-29,-13.19333,0.0,,
1920-04-30,-7.41,0.0,,
1920-05-01,-2.88,0.0,,
1920-05-02,1.05,5.27033,,
1920-05-03,-3.656667,1.147503,,
1920-05-04,-8.943334,0.0,,
1920-05-05,-5.173334,0.0,,
1920-05-06,-4.506666,0.961018,,
1920-05-07,0.3233334,0.0,,
1920-05-08,-1.38,6.86169,,
1920-05-09,-5.446667,0.0,,
1920-05-10,-2.756667,0.0,,
1920-05-11,-2.89,0.0,,
1920-05-12,-2.79,1.397907,,
1920-05-13,2.973333,7.197116,,
1920-05-14,-7.25,1.185856,,
1920-05-15,-3.716667,0.0,,
1920-05-16,1.38,0.0,,
1920-05-17,6.9,5.949666,,
1920-05-18,8.119999,9.136847,,
1920-05-19,6.929999,1.675322,,
1920-05-20,4.26,0.0,,
1920-05-21,6.993334,0.0,,
1920-05-22,-6.666666,0.0,,
1920-05-23,-1.91,0.0,,
1920-05-24,8.676666,0.0,,
1920-05-25,2.473333,0.0,,
1920-05-26,8.66,0.0,,
1920-05-27,12.89667,0.0,,
1920-05-28,15.99333,0.0,,
1920-05-29,13.77,0.0,,
1920-05-30,8.093333,2.27523,,
1920-05-31,10.11667,0.8634214,,
1920-06-01,3.123333,0.8799194,,
1920-06-02,6.376667,0.0,,
1920-06-03,2.246667,0.0,,
1920-06-04,-3.559999,0.0,,
1920-06-05,0.05999947,0.0,,
1920-06-06,-1.643334,0.0,,
1920-06-07,-1.143333,0.0,,
1920-06-08,-3.649999,0.0,,
1920-06-09,-0.1866674,0.0,,
1920-06-10,1.506666,0.0,,
1920-06-11,0.6066666,0.0,,
1920-06-12,5.133333,0.0,,
1920-06-13,5.433333,0.0,,
1920-06-14,12.48333,0.0,,
1920-06-15,8.59,0.0,,
1920-06-16,7.766667,0.0,,
1920-06-17,7.473333,0.0,,
1920-06-18,9.639999,0.0,,
