Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
1,0.000,0.000,nan,332.000,nan,nan
2,0.000,0.000,0.000,331.668,0.332,498000.000
3,0.000,0.000,0.000,331.336,0.332,497502.000
4,0.000,0.000,0.000,331.005,0.331,497004.498
5,0.000,0.000,0.000,330.674,0.331,496507.494
6,2.826,0.000,0.000,331.935,0.331,496010.986
7,0.000,0.000,0.000,331.254,0.680,1020734.831
8,0.000,0.000,0.000,330.750,0.505,756865.948
9,0.000,0.000,0.000,330.419,0.367,551087.526
10,0.000,0.000,0.000,330.089,0.330,495628.863
11,0.000,0.000,0.000,329.759,0.330,495133.235
12,0.000,0.000,0.000,329.429,0.330,494638.101
13,0.000,0.000,0.000,329.100,0.329,494143.463
14,0.000,0.000,0.000,328.770,0.329,493649.320
15,0.000,0.000,0.000,328.442,0.329,493155.670
16,0.000,0.000,0.000,328.113,0.328,492662.515
17,9.489,1.002,0.439,332.461,0.328,492169.852
18,0.000,0.000,0.000,331.105,1.357,2034866.804
19,0.000,0.000,0.000,330.074,1.031,1547048.520
20,0.000,0.000,0.000,329.296,0.778,1166590.405
21,0.000,0.000,0.000,328.716,0.580,869873.184
22,0.000,0.000,0.000,328.388,0.426,638473.818
23,0.000,0.000,0.000,328.059,0.328,492581.390
24,0.000,0.000,0.000,327.731,0.328,492088.808
25,0.000,0.000,0.000,327.403,0.328,491596.719
26,0.000,0.000,0.000,327.076,0.327,491105.123
27,0.000,0.000,0.000,326.749,0.327,490614.018
28,0.000,0.000,0.000,326.422,0.327,490123.404
29,0.000,0.000,0.000,326.096,0.326,489633.280
30,0.000,0.000,0.000,325.770,0.326,489143.647
31,0.000,0.000,0.000,325.444,0.326,488654.503
32,0.000,2.824,1.308,328.220,0.325,488165.849
33,0.000,0.000,0.000,327.212,1.007,1511095.574
34,28.888,1.431,0.682,339.451,0.758,1137630.960
35,8.640,0.043,0.023,341.054,3.424,5135280.445
36,0.000,0.000,0.000,337.305,3.749,5623445.816
37,0.000,0.000,0.000,334.408,2.897,4345387.097
38,0.000,0.000,0.000,332.176,2.232,3348542.196
39,0.000,5.320,2.943,337.124,1.714,2571044.034
40,0.000,4.766,2.713,340.655,2.776,4163291.690
41,0.000,0.000,0.000,338.237,3.525,5287776.902
42,0.000,0.000,0.000,335.271,2.966,4449052.672
43,0.000,0.000,0.000,332.985,2.286,3429605.235
44,0.000,0.000,0.000,331.228,1.756,2634476.891
45,0.000,0.000,0.000,329.885,1.343,2014317.397
46,0.000,0.000,0.000,328.865,1.020,1530633.567
47,0.000,0.000,0.000,328.096,0.769,1153400.713
48,0.000,0.000,0.000,327.523,0.573,859199.581
49,0.000,0.000,0.000,327.196,0.420,629763.151
50,0.000,0.000,0.000,326.869,0.327,490794.135
51,0.000,0.000,0.000,326.542,0.327,490303.341
52,0.000,0.000,0.000,326.215,0.327,489813.037
53,0.000,0.000,0.000,325.889,0.326,489323.224
54,0.000,0.000,0.000,325.563,0.326,488833.901
55,0.000,0.000,0.000,325.238,0.326,488345.067
56,0.000,0.000,0.000,324.913,0.325,487856.722
57,0.000,0.000,0.000,324.588,0.325,487368.865
58,0.000,0.000,0.000,324.263,0.325,486881.496
59,0.000,0.000,0.000,323.939,0.324,486394.615
60,0.000,0.000,0.000,323.615,0.324,485908.220
61,0.000,0.000,0.000,323.291,0.324,485422.312
62,0.000,0.000,0.000,322.968,0.323,484936.890
63,0.000,0.000,0.000,322.645,0.323,484451.953
64,0.000,0.000,0.000,322.322,0.323,483967.501
65,0.000,0.000,0.000,322.000,0.322,483483.533
66,0.000,0.000,0.000,321.678,0.322,483000.050
67,0.000,0.000,0.000,321.356,0.322,482517.050
68,1.670,0.000,0.000,321.943,0.321,482034.533
69,0.000,0.000,0.000,321.422,0.521,781143.571
70,0.000,0.000,0.000,321.101,0.378,566926.983
71,0.000,0.000,0.000,320.780,0.321,481651.386
72,0.000,0.000,0.000,320.877,0.321,481169.735
73,0.000,0.027,0.016,322.091,0.412,618567.814
74,0.597,1.689,1.012,325.122,0.658,987215.372
75,0.000,0.000,0.000,323.825,1.297,1944924.790
76,0.000,0.000,0.000,322.842,0.983,1474561.636
77,0.000,0.000,0.000,322.104,0.738,1107720.856
78,0.000,0.000,0.000,321.556,0.548,821627.484
79,0.000,0.000,0.000,321.235,0.399,598517.049
80,0.000,0.000,0.000,320.914,0.321,481852.201
81,0.000,0.000,0.000,320.593,0.321,481370.348
82,0.000,0.000,0.000,320.272,0.321,480888.978
83,0.000,0.000,0.000,319.952,0.320,480408.089
84,0.000,0.000,0.000,319.632,0.320,479927.681
85,0.000,0.000,0.000,319.312,0.320,479447.753
86,0.000,0.000,0.000,318.993,0.319,478968.305
87,0.000,0.000,0.000,318.674,0.319,478489.337
88,0.000,0.000,0.000,318.355,0.319,478010.848
89,0.000,0.000,0.000,318.037,0.318,477532.837
90,0.000,0.000,0.000,317.719,0.318,477055.304
91,0.000,0.000,0.000,317.401,0.318,476578.249
92,0.000,0.000,0.000,317.084,0.317,476101.671
93,0.000,0.000,0.000,316.767,0.317,475625.569
94,0.000,0.000,0.000,316.450,0.317,475149.943
95,0.000,0.000,0.000,316.133,0.316,474674.793
96,0.000,0.000,0.000,315.817,0.316,474200.119
97,0.000,0.000,0.000,315.501,0.316,473725.918
98,0.000,0.000,0.000,315.186,0.316,473252.193
99,0.000,0.000,0.000,314.871,0.315,472778.940
100,0.000,0.000,0.000,314.556,0.315,472306.161
101,0.000,0.000,0.000,314.241,0.315,471833.855
102,0.000,0.000,0.000,313.927,0.314,471362.021
103,0.000,0.000,0.000,313.613,0.314,470890.659
104,0.000,0.000,0.000,313.300,0.314,470419.769
105,0.000,0.000,0.000,312.986,0.313,469949.349
106,0.000,0.000,0.000,312.673,0.313,469479.400
107,0.000,0.000,0.000,312.361,0.313,469009.920
108,0.000,0.000,0.000,312.048,0.312,468540.910
109,0.000,0.000,0.000,311.736,0.312,468072.369
110,0.000,0.000,0.000,311.424,0.312,467604.297
111,0.000,0.000,0.000,311.113,0.311,467136.693
112,0.000,0.000,0.000,311.938,0.311,466669.556
113,0.000,2.348,1.439,315.577,0.561,840966.681
114,0.000,4.341,2.698,320.675,1.331,1996365.573
115,1.478,8.073,5.110,329.654,2.422,3632986.714
116,0.000,7.484,4.874,335.613,4.367,6550234.249
117,0.000,8.284,5.514,341.455,5.648,8471278.713
118,0.000,6.529,4.440,344.203,6.902,10353534.826
119,0.000,7.117,4.923,347.256,7.476,11214723.934
120,0.000,9.415,6.621,350.272,8.118,12176930.146
121,0.000,10.058,7.150,341.521,8.751,13126684.834
122,8.094,8.596,5.951,339.012,6.796,10193452.137
123,4.245,0.819,0.562,335.029,6.214,9320444.121
124,0.000,0.000,0.000,329.722,5.307,7960708.692
125,0.000,0.000,0.000,325.613,4.109,6164126.697
126,3.698,2.535,1.750,324.391,3.175,4762837.966
127,0.000,0.000,0.000,321.515,2.876,4314717.427
128,0.000,2.161,1.492,323.813,2.214,3320389.053
129,0.000,2.866,1.998,326.542,2.689,4033850.215
130,0.000,5.838,4.111,324.248,3.260,4889400.554
131,0.000,6.727,4.680,321.523,2.725,4087335.973
132,8.598,4.711,3.220,323.924,2.095,3143211.610
133,0.000,0.000,0.000,321.330,2.594,3890548.425
134,0.000,4.333,2.971,321.314,1.993,2989807.099
135,2.061,6.302,4.303,320.430,1.960,2939588.625
136,2.981,2.632,1.775,320.232,1.736,2603391.086
137,2.692,0.000,0.000,319.956,1.662,2493209.080
138,0.000,8.837,5.980,318.384,1.572,2357533.236
139,0.000,10.955,7.242,317.188,1.196,1794278.907
140,0.000,10.393,6.675,316.285,0.903,1354985.128
141,0.000,10.156,6.346,315.610,0.675,1012380.532
142,0.000,12.344,7.509,315.113,0.497,745193.455
143,0.000,12.601,7.420,314.798,0.358,536831.999
144,0.000,9.075,5.168,314.483,0.315,472197.416
145,0.000,1.006,0.560,314.169,0.314,471725.219
146,0.000,1.014,0.562,313.855,0.314,471253.494
147,0.000,2.477,1.370,313.541,0.314,470782.240
148,0.000,4.313,2.371,313.227,0.314,470311.458
149,0.000,3.744,2.035,312.914,0.313,469841.147
150,0.000,5.245,2.823,312.601,0.313,469371.305
151,3.510,4.469,2.372,313.260,0.313,468901.934
152,4.198,3.202,1.697,314.432,0.526,789086.883
153,0.000,0.000,0.000,313.679,0.754,1130618.366
154,0.000,2.207,1.175,313.121,0.558,836689.397
155,0.000,5.632,2.979,312.808,0.405,607469.995
156,0.000,4.930,2.570,312.495,0.313,469212.234
157,0.000,3.615,1.861,312.183,0.312,468743.021
158,0.000,4.306,2.195,311.871,0.312,468274.278
159,0.000,6.770,3.413,311.559,0.312,467806.004
160,0.000,10.518,5.209,311.247,0.312,467338.198
161,0.000,13.595,6.548,310.936,0.311,466870.860
162,0.046,11.774,5.470,310.625,0.311,466403.989
163,1.035,5.210,2.347,310.314,0.311,465937.585
164,0.000,2.114,0.943,310.004,0.310,465471.648
165,0.000,0.745,0.330,309.694,0.310,465006.176
166,0.000,0.156,0.069,309.384,0.310,464541.170
167,2.443,0.000,0.000,309.449,0.309,464076.629
168,0.000,0.846,0.378,309.140,0.391,586924.244
169,0.000,4.009,1.788,308.830,0.309,463709.447
170,0.000,6.564,2.896,308.522,0.309,463245.738
171,0.308,4.111,1.783,308.213,0.309,462782.492
172,0.000,3.120,1.340,307.905,0.308,462319.709
173,0.000,3.163,1.348,307.597,0.308,461857.390
174,0.000,3.334,1.409,307.289,0.308,461395.532
175,4.955,2.796,1.171,308.112,0.307,460934.137
176,1.669,4.618,1.961,308.096,0.556,833479.585
177,5.949,7.008,2.961,309.489,0.521,781208.125
178,0.000,9.204,3.914,308.693,0.796,1193863.018
179,0.000,9.773,4.057,308.104,0.590,884325.701
180,0.000,11.571,4.681,307.696,0.429,642933.482
181,0.000,12.503,4.906,307.388,0.308,461543.693
182,0.000,15.230,5.781,307.081,0.307,461082.150
183,0.000,10.460,3.813,306.774,0.307,460621.068
184,0.000,9.399,3.333,306.467,0.307,460160.447
185,2.225,7.527,2.604,306.295,0.306,459700.286
186,1.657,3.155,1.084,306.077,0.336,503779.611
187,1.933,3.237,1.113,305.894,0.325,487882.107
188,0.000,3.268,1.126,305.588,0.333,499308.688
189,6.161,5.156,1.762,306.432,0.306,458382.296
190,3.959,6.950,2.425,306.924,0.558,837237.561
191,3.305,3.771,1.321,307.169,0.635,952036.473
192,7.603,5.066,1.789,308.553,0.657,985429.927
193,40.359,4.758,1.727,318.759,0.930,1394555.999
194,6.706,7.508,3.262,317.834,3.143,4715171.130
195,8.921,9.980,4.368,317.900,2.908,4362730.889
196,1.661,11.123,4.914,315.567,2.891,4337026.617
197,0.000,11.961,5.166,313.221,2.347,3520067.081
198,0.000,13.455,5.630,311.422,1.799,2698444.441
199,0.000,12.031,4.858,310.050,1.372,2057625.990
200,4.061,11.361,4.443,310.220,1.039,1557834.759
201,0.000,11.973,4.633,309.175,1.045,1566860.821
202,2.938,10.698,4.011,309.229,0.783,1175132.107
203,14.933,8.986,3.324,312.666,0.764,1146048.794
204,0.000,9.980,3.885,311.177,1.489,2233272.628
205,21.096,10.429,3.954,316.131,1.130,1695074.233
206,17.819,8.607,3.511,319.474,2.189,3282816.929
207,6.143,5.604,2.414,318.596,2.893,4339411.101
208,0.000,6.341,2.760,315.928,2.669,4003006.928
209,0.000,7.219,3.090,313.877,2.050,3075654.220
210,5.715,7.718,3.241,314.137,1.568,2352365.799
211,11.255,6.798,2.866,316.156,1.594,2391296.854
212,6.753,6.517,2.829,316.381,2.007,3011055.257
213,0.384,8.229,3.608,314.483,2.026,3038855.533
214,2.981,8.428,3.622,313.881,1.577,2366149.999
215,10.450,8.362,3.558,315.853,1.414,2121095.283
216,1.590,9.964,4.331,314.563,1.817,2725547.844
217,0.000,9.060,3.861,313.061,1.502,2253361.734
218,0.000,10.667,4.439,311.920,1.141,1711349.512
219,3.191,11.603,4.694,312.043,0.859,1288626.252
220,3.995,12.094,4.815,312.398,0.855,1283209.390
221,7.492,8.763,3.442,313.735,0.903,1354124.080
222,13.871,6.295,2.502,316.764,1.166,1749124.370
223,16.228,4.719,1.964,320.104,1.802,2702980.892
224,7.287,4.185,1.841,320.040,2.506,3759153.506
225,0.000,3.276,1.467,317.579,2.461,3692003.880
226,0.000,4.731,2.100,315.690,1.889,2833859.274
227,2.138,7.129,3.126,314.961,1.443,2164552.385
228,22.099,6.037,2.620,321.014,1.252,1878223.759
229,0.000,3.701,1.724,318.461,2.553,3830011.707
230,0.000,5.047,2.328,316.499,1.961,2941688.719
231,0.000,6.279,2.858,315.000,1.499,2248842.509
232,0.000,7.012,3.140,313.861,1.139,1708468.140
233,5.748,4.368,1.920,314.928,0.858,1287021.761
234,11.193,2.964,1.318,317.656,1.062,1593421.315
235,3.579,2.773,1.277,317.279,1.632,2448141.697
236,1.519,5.511,2.552,316.296,1.519,2278384.301
237,0.000,5.823,2.673,315.024,1.272,1908619.622
238,0.000,3.919,1.772,314.061,0.962,1443367.378
239,0.000,4.637,2.075,313.341,0.720,1080515.984
240,2.863,5.795,2.562,313.773,0.532,797537.207
241,4.804,6.884,3.031,314.788,0.597,894933.065
242,1.680,3.970,1.750,314.562,0.790,1184525.938
243,0.179,6.341,2.784,313.912,0.710,1064918.238
244,0.000,8.529,3.686,313.375,0.537,805326.612
245,0.000,7.141,3.017,313.062,0.389,583115.371
246,0.000,4.111,1.705,312.749,0.313,469593.038
247,0.000,2.531,1.038,312.436,0.313,469123.445
248,0.000,2.465,1.005,312.124,0.312,468654.322
249,0.000,3.097,1.254,311.812,0.312,468185.667
250,0.000,1.072,0.431,311.500,0.312,467717.482
251,0.000,3.919,1.570,311.188,0.311,467249.764
252,0.000,4.497,1.783,310.877,0.311,466782.514
253,0.000,4.516,1.770,310.566,0.311,466315.732
254,0.000,3.799,1.471,310.256,0.311,465849.416
255,0.000,1.993,0.764,309.945,0.310,465383.567
256,1.524,0.799,0.305,309.636,0.310,464918.183
257,0.000,0.000,0.000,309.326,0.310,464453.265
258,0.000,0.000,0.000,309.017,0.309,463988.812
259,0.000,0.000,0.000,308.708,0.309,463524.823
260,0.000,0.000,0.000,308.399,0.309,463061.298
261,0.000,0.000,0.000,308.090,0.308,462598.237
262,0.000,0.768,0.295,307.782,0.308,462135.639
263,2.704,3.229,1.236,307.812,0.308,461673.503
264,14.569,3.225,1.240,311.578,0.382,572484.269
265,1.018,3.951,1.612,310.690,1.204,1805531.883
266,0.000,2.278,0.924,309.713,0.977,1465875.354
267,0.000,0.000,0.000,308.982,0.731,1096619.738
268,1.160,1.790,0.722,308.799,0.539,808647.120
269,0.263,0.000,0.000,308.412,0.468,701540.959
270,0.000,0.000,0.000,308.104,0.352,527279.522
271,0.000,0.000,0.000,307.796,0.308,462155.918
272,0.000,1.556,0.629,307.488,0.308,461693.762
273,0.000,2.749,1.106,307.181,0.307,461232.068
274,0.000,0.000,0.000,306.873,0.307,460770.836
275,0.000,0.000,0.000,306.567,0.307,460310.066
276,2.969,0.000,0.000,306.712,0.307,459849.755
277,3.430,0.000,0.000,307.363,0.406,608675.649
278,3.135,0.000,0.000,307.826,0.517,776246.282
279,16.186,0.000,0.000,312.372,0.588,881929.798
280,0.000,0.000,0.000,310.815,1.557,2334834.819
281,2.108,0.000,0.000,310.963,1.183,1774094.062
282,7.280,1.447,0.654,313.074,1.184,1775862.004
283,0.000,0.000,0.000,311.457,1.617,2425265.930
284,3.587,0.000,0.000,311.655,1.230,1844771.419
285,2.192,0.000,0.000,311.353,1.242,1863477.977
286,0.000,0.000,0.000,310.208,1.144,1716714.864
287,0.000,0.000,0.000,309.347,0.861,1292242.255
288,0.000,0.000,0.000,308.706,0.641,961200.415
289,0.000,0.000,0.000,308.237,0.469,703034.529
290,0.000,0.000,0.000,307.929,0.334,501711.839
291,0.000,0.000,0.000,307.621,0.308,461893.613
292,0.000,0.000,0.000,307.314,0.308,461431.719
293,0.000,0.000,0.000,307.006,0.307,460970.287
294,0.000,0.000,0.000,306.699,0.307,460509.317
295,0.000,0.000,0.000,306.393,0.307,460048.808
296,0.000,0.000,0.000,306.086,0.306,459588.759
297,0.717,0.000,0.000,305.791,0.306,459129.170
298,0.333,2.851,1.374,306.388,0.308,462432.356
299,0.000,4.781,2.315,305.884,0.504,756004.001
300,0.000,3.994,1.910,305.578,0.361,542210.157
301,0.000,2.738,1.296,305.273,0.306,458367.548
302,0.000,0.000,0.000,304.968,0.305,457909.181
303,0.000,0.893,0.420,304.663,0.305,457451.272
304,0.000,0.000,0.000,304.358,0.305,456993.820
305,0.000,0.000,0.000,304.054,0.304,456536.827
306,0.000,0.000,0.000,303.749,0.304,456080.290
307,0.000,0.000,0.000,303.446,0.304,455624.209
308,0.000,0.000,0.000,303.142,0.303,455168.585
309,0.000,0.000,0.000,302.839,0.303,454713.417
310,0.000,0.000,0.000,302.536,0.303,454258.703
311,0.000,0.000,0.000,302.234,0.303,453804.445
312,0.000,0.000,0.000,301.932,0.302,453350.640
313,0.000,0.000,0.000,301.630,0.302,452897.289
314,0.000,0.000,0.000,301.328,0.302,452444.392
315,0.000,0.000,0.000,301.027,0.301,451991.948
316,0.000,0.000,0.000,300.726,0.301,451539.956
317,0.000,0.000,0.000,300.425,0.301,451088.416
318,0.000,0.000,0.000,300.124,0.300,450637.327
319,0.000,0.000,0.000,299.824,0.300,450186.690
320,0.000,0.000,0.000,299.525,0.300,449736.503
321,0.000,0.000,0.000,299.225,0.300,449286.767
322,0.000,0.000,0.000,298.926,0.299,448837.480
323,0.000,0.000,0.000,298.627,0.299,448388.643
324,0.000,0.000,0.000,298.328,0.299,447940.254
325,0.000,0.000,0.000,298.030,0.298,447492.314
326,0.000,0.000,0.000,297.732,0.298,447044.821
327,0.000,0.000,0.000,297.434,0.298,446597.777
328,0.000,0.000,0.000,297.137,0.297,446151.179
329,0.000,0.000,0.000,296.840,0.297,445705.028
330,0.000,0.000,0.000,296.543,0.297,445259.323
331,0.000,0.000,0.000,296.246,0.297,444814.063
332,0.000,0.000,0.000,295.950,0.296,444369.249
333,0.000,0.000,0.000,295.654,0.296,443924.880
334,0.000,0.000,0.000,295.358,0.296,443480.955
335,0.000,0.000,0.000,295.063,0.295,443037.474
336,0.000,0.000,0.000,294.768,0.295,442594.437
337,0.000,0.000,0.000,294.473,0.295,442151.842
338,0.000,0.000,0.000,294.179,0.294,441709.690
339,0.000,0.000,0.000,293.884,0.294,441267.981
340,0.000,0.000,0.000,293.591,0.294,440826.713
341,0.000,0.000,0.000,293.297,0.294,440385.886
342,0.000,0.000,0.000,293.004,0.293,439945.500
343,0.000,0.000,0.000,292.711,0.293,439505.555
344,0.000,0.000,0.000,292.418,0.293,439066.049
345,0.000,0.000,0.000,292.126,0.292,438626.983
346,0.000,0.000,0.000,291.833,0.292,438188.356
347,0.000,0.000,0.000,291.542,0.292,437750.168
348,0.000,0.000,0.000,291.250,0.292,437312.418
349,0.000,0.000,0.000,290.959,0.291,436875.105
350,0.000,0.000,0.000,290.668,0.291,436438.230
351,0.000,0.000,0.000,290.377,0.291,436001.792
352,0.000,0.000,0.000,290.087,0.290,435565.790
353,0.000,0.000,0.000,289.797,0.290,435130.224
354,0.000,0.000,0.000,289.507,0.290,434695.094
355,0.000,0.000,0.000,289.217,0.290,434260.399
356,0.000,0.000,0.000,288.928,0.289,433826.139
357,0.000,0.000,0.000,288.639,0.289,433392.312
358,0.000,0.000,0.000,288.351,0.289,432958.920
359,0.000,0.000,0.000,288.062,0.288,432525.961
360,0.000,0.000,0.000,287.774,0.288,432093.435
361,0.000,0.000,0.000,287.486,0.288,431661.342
362,0.000,0.000,0.000,287.199,0.287,431229.680
363,0.000,0.000,0.000,286.912,0.287,430798.451
364,0.000,0.000,0.000,286.625,0.287,430367.652
365,0.000,0.000,0.000,286.338,0.287,429937.285
366,0.000,0.000,0.000,286.052,0.286,429507.347
367,0.000,0.000,0.000,285.766,0.286,429077.840
368,0.000,0.000,0.000,285.480,0.286,428648.762
369,0.000,0.000,0.000,285.195,0.285,428220.113
370,0.000,0.000,0.000,284.909,0.285,427791.893
371,0.000,0.000,0.000,284.624,0.285,427364.101
372,0.000,0.000,0.000,284.340,0.285,426936.737
373,0.000,0.000,0.000,284.056,0.284,426509.801
374,0.000,0.000,0.000,283.771,0.284,426083.291
375,0.000,0.000,0.000,283.488,0.284,425657.207
376,0.000,0.000,0.000,283.204,0.283,425231.550
377,0.000,0.000,0.000,282.921,0.283,424806.319
378,0.000,0.000,0.000,282.638,0.283,424381.512
379,0.000,0.000,0.000,282.355,0.283,423957.131
380,0.000,0.000,0.000,282.073,0.282,423533.174
381,0.000,0.000,0.000,281.791,0.282,423109.641
382,0.000,0.000,0.000,281.509,0.282,422686.531
383,0.000,0.000,0.000,281.228,0.282,422263.844
384,0.000,0.000,0.000,280.946,0.281,421841.581
385,0.000,0.000,0.000,280.666,0.281,421419.739
386,0.000,0.000,0.000,280.385,0.281,420998.319
387,0.000,0.000,0.000,280.104,0.280,420577.321
388,0.000,0.000,0.000,279.824,0.280,420156.744
389,0.000,0.000,0.000,279.545,0.280,419736.587
390,0.000,0.000,0.000,279.265,0.280,419316.850
391,0.000,0.000,0.000,278.986,0.279,418897.533
392,0.000,0.000,0.000,278.707,0.279,418478.636
393,0.000,0.000,0.000,278.428,0.279,418060.157
394,0.000,0.000,0.000,278.150,0.278,417642.097
395,0.000,0.000,0.000,277.871,0.278,417224.455
396,0.000,0.000,0.000,277.594,0.278,416807.231
397,0.000,0.000,0.000,277.316,0.278,416390.423
398,0.000,0.000,0.000,277.039,0.277,415974.033
399,0.000,0.000,0.000,276.762,0.277,415558.059
400,0.000,0.000,0.000,276.485,0.277,415142.501
401,0.000,0.000,0.000,276.208,0.276,414727.358
402,0.000,0.000,0.000,275.932,0.276,414312.631
403,0.000,0.000,0.000,275.656,0.276,413898.318
404,0.000,0.000,0.000,275.381,0.276,413484.420
405,0.000,0.000,0.000,275.105,0.275,413070.936
406,0.000,0.000,0.000,274.830,0.275,412657.865
407,0.000,0.000,0.000,274.555,0.275,412245.207
408,0.000,0.000,0.000,274.281,0.275,411832.962
409,0.000,0.000,0.000,274.006,0.274,411421.129
410,0.000,0.000,0.000,273.732,0.274,411009.707
