,Max Discharge
0,0.0
1,0.0
2,0.0
3,0.0
4,80.17037194477079
5,122.4033337435596
6,251.9349709793024
7,99.11324264405418
8,202.45822080333505
9,151.26264685697907
10,185.3507804046729
11,86.76779083951253
12,226.5471642594672
13,103.74161368028427
14,195.0152095304528
15,151.44696171091627
16,112.08560227075968
17,184.3559517435386
18,184.09004999178285
19,256.18867862401464
20,338.1052236358317
21,199.0060176868573
22,193.3903923356092
23,96.7528089731671
24,185.00311894124445
25,89.1261826686261
26,200.0560811717181
27,158.65204400195984
28,304.90764266604964
29,92.7764287228904
30,160.15967121709136
31,151.64944015439144
32,199.3745343301997
33,62.92268107284968
34,0.0
35,231.8946786036265
36,118.16772532146636
37,199.45653300959788
38,240.46862969248124
39,239.69253937845343
40,207.21199772776004
41,150.97395186763205
42,360.0039612411682
43,205.002416880449
44,134.16200597218355
45,200.9239346829584
46,72.93837012946675
47,89.56791541647127
48,199.3774239319845
49,195.89324579898408
50,198.104692190855
51,170.35222223104353
52,191.6209407570543
53,155.03741805651094
54,247.29875844930345
55,187.5487729039962
56,259.44425438955375
57,184.9933851769545
58,174.81214601743295
59,181.87245928978712
60,199.4532496620577
61,0.0
